case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
41,2,Vic,f,5,88.4,57,83,36.5,NA,40.3,15.9,27,30.5
42,2,Vic,m,3,85.3,54.1,77,32,62.7,51.2,13.8,25.5,33
43,2,Vic,f,2,90,55.5,81,32,72,49.4,13.4,29,31
44,2,Vic,m,NA,85.1,51.5,76,35.5,70.3,52.6,14.4,23,27
45,2,Vic,m,3,90.7,55.9,81,34,71.5,54,14.6,27,31.5
46,2,Vic,m,NA,91.4,54.4,84,35,72.8,51.2,14.4,24.5,35
47,3,other,m,2,90.1,54.8,89,37.5,66,45.5,15,25,33
48,3,other,m,5,98.6,63.2,85,34,66.9,44.9,17,28,35
49,3,other,m,4,95.4,59.2,85,37,69,45,15.9,29.5,35.5
50,3,other,f,5,91.6,56.4,88,38,65,47.2,14.9,28,36
51,3,other,f,5,95.6,59.6,85,36,64,43.9,17.4,28,38.5
52,3,other,m,6,97.6,61,93.5,40,67.9,44.3,15.8,28.5,32.5
53,3,other,f,3,93.1,58.1,91,38,67.4,46,16.5,26,33.5
54,4,other,m,7,96.9,63,91.5,43,71.3,46,17.5,30,36.5
55,4,other,m,2,103.1,63.2,92.5,38,72.5,44.9,16.4,30.5,36
56,4,other,m,3,99.9,61.5,93.7,38,68.7,46.8,16.4,27.5,31.5
57,4,other,f,4,95.1,59.4,93,41,67.2,45.3,14.5,31,39
58,4,other,m,3,94.5,64.2,91,39,66.5,46.4,14.4,30.5,33
59,4,other,m,2,102.5,62.8,96,40,73.2,44.5,14.7,32,36
60,4,other,f,2,91.3,57.7,88,39,63.1,47,14.4,26,30
