case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
61,5,other,m,7,95.7,59,86,38,63.1,44.9,15,26.5,31
62,5,other,f,3,91.3,58,90.5,39,65.5,41.3,16,27,32
63,5,other,f,6,92,56.4,88.5,38,64.1,46.3,15.2,25.5,28.5
64,5,other,f,3,96.9,56.5,89.5,38.5,63,45.1,17.1,25.5,33
65,5,other,f,5,93.5,57.4,88.5,38,68.2,41.7,14,29,38.5
66,5,other,f,3,90.4,55.8,86,36.5,63.2,44.2,15.7,26.5,34
67,5,other,m,4,93.3,57.6,85,36.5,64.7,44.1,16.5,27.5,29.5
68,5,other,m,5,94.1,56,88.5,38,65.9,43.1,17.4,27,30
69,5,other,m,5,98,55.6,88,37.5,65,45.6,15,28.5,34
70,5,other,f,7,91.9,56.4,87,38,65.4,44.1,13,27,34
71,5,other,m,6,92.8,57.6,90,40,65.7,42.8,15,27.5,34
72,5,other,m,1,85.9,52.4,80.5,35,62,42.4,14.1,25.5,30
73,5,other,m,1,82.5,52.3,82,36.5,65.7,44.7,16,23.5,28
74,6,other,f,4,88.7,52,83,38,61.5,45.9,14.7,26,34
75,6,other,m,6,93.8,58.1,89,38,66.2,45.6,16.9,26,33.5
76,6,other,m,5,92.4,56.8,89,41,64.5,46.4,17.8,26,33
77,6,other,m,6,93.6,56.2,84,36,62.8,42.9,16.2,25,35
78,6,other,m,1,86.5,51,81,36.5,63,44.3,13.2,23,28
79,6,other,m,1,85.8,50,81,36.5,62.8,43,14.8,22,28.5
80,6,other,m,1,86.7,52.6,84,38,62.3,44.8,15,23.5,30.5
