case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
21,1,Vic,f,3,95.9,58.1,96.5,39.5,77.9,52.9,14.2,30,40
22,1,Vic,m,3,96.3,58.5,91,39.5,73.5,52.1,16.2,28,36
23,1,Vic,f,4,92.5,56.1,89,36,72.8,53.3,15.4,28,35
24,1,Vic,m,2,94.4,54.9,84,34,75,53.5,16.2,27,32
25,1,Vic,m,3,95.8,58.5,91.5,35.5,72.3,51.6,14.9,31,35
26,1,Vic,m,7,96,59,90,36,73.6,56.2,15,29,38
27,1,Vic,f,2,90.5,54.5,85,35,70.3,50.8,14.2,23,28
28,1,Vic,m,4,93.8,56.8,87,34.5,73.2,53,15.3,27,30
29,1,Vic,f,3,92.8,56,88,35,74.9,51.8,14,24,32
30,1,Vic,f,2,92.1,54.4,84,33.5,70.6,50.8,14.5,24.5,33
31,1,Vic,m,3,92.8,54.1,93,37,68,52.5,14.5,27,31
32,1,Vic,f,4,94.3,56.7,94,39,74.8,52,14.9,28,34
33,1,Vic,m,3,91.4,54.6,89,37,70.8,51.8,14.8,24,30
34,2,Vic,m,2,90.6,55.7,85.5,36.5,73.1,53.1,14.4,26,28.5
35,2,Vic,m,4,94.4,57.9,85,35.5,71.2,55.5,16.4,28,35.5
36,2,Vic,m,7,93.3,59.3,88,35,74.3,52,14.9,25.5,36
37,2,Vic,f,2,89.3,54.8,82.5,35,71.2,52,13.6,28,31.5
38,2,Vic,m,7,92.4,56,80.5,35.5,68.4,49.5,15.9,27,30
39,2,Vic,f,1,84.7,51.5,75,34,68.7,53.4,13,25,25
40,2,Vic,f,3,91,55,84.5,36,72.8,51.4,13.6,27,30
