case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
81,6,other,m,3,90.6,56,85.5,38,65.6,41.7,17,27.5,35
82,6,other,f,4,86,54,82,36.5,60.7,42.9,15.4,26,32
83,6,other,f,3,90,53.8,81.5,36,62,43.3,14,25,29
84,6,other,m,3,88.4,54.6,80.5,36,62.6,43.6,16.3,25,28.5
85,6,other,m,3,89.5,56.2,92,40.5,65.6,43.5,14.5,27,31.5
86,6,other,f,3,88.2,53.2,86.5,38.5,60.3,43.7,13.6,26,31
87,7,other,m,2,98.5,60.7,93,41.5,71.7,46.8,15,26,36
88,7,other,f,2,89.6,58,87.5,38,66.7,43.5,16,25.5,31.5
89,7,other,m,6,97.7,58.4,84.5,35,64.4,46.2,14.4,29,30.5
90,7,other,m,3,92.6,54.6,85,38.5,69.8,44.8,14.5,25.5,32.5
91,7,other,m,3,97.8,59.6,89,38,65.5,48,15,26,32
92,7,other,m,2,90.7,56.3,85,37,67.6,46.8,14.5,25.5,31
93,7,other,m,3,89.2,54,82,38,63.8,44.9,12.8,24,31
94,7,other,m,7,91.8,57.6,84,35.5,64.2,45.1,14.4,29,35
95,7,other,m,4,91.6,56.6,88.5,37.5,64.5,45.4,14.9,27,31
96,7,other,m,4,94.8,55.7,83,38,66.5,47.7,14,25,33
97,7,other,m,3,91,53.1,86,38,63.8,46,14.5,25,31.5
98,7,other,m,5,93.2,68.6,84,35,65.6,44.3,14.5,28.5,32
99,7,other,f,3,93.3,56.2,86.5,38.5,64.8,43.8,14,28,35
100,7,other,m,1,89.5,56,81.5,36.5,66,46.8,14.8,23,27
101,7,other,m,1,88.6,54.7,82.5,39,64.4,48,14,25,33
102,7,other,f,6,92.4,55,89,38,63.5,45.4,13,25,30
103,7,other,m,4,91.5,55.2,82.5,36.5,62.9,45.9,15.4,25,29
104,7,other,f,3,93.6,59.9,89,40,67.6,46,14.8,28.5,33.5
